Year,State,MHI,RMHI
1984,AK,"32,356","74,689"
1985,AK,"34,782","77,625"
1986,AK,"31,356","68,775"
1987,AK,"33,233","70,468"
1988,AK,"33,103","67,745"
1989,AK,"36,006","70,599"
1990,AK,"39,298","73,433"
1991,AK,"40,612","73,224"
1992,AK,"41,802","73,541"
1993,AK,"42,931","73,670"
1994,AK,"45,367","76,258"
1995,AK,"47,954","78,710"
1996,AK,"52,779","84,383"
1997,AK,"47,994","75,109"
1998,AK,"50,692","78,271"
1999,AK,"51,396","77,703"
2000,AK,"52,847","77,275"
2001,AK,"57,363","81,556"
2002,AK,"52,774","73,868"
2003,AK,"51,837","70,945"
2004,AK,"55,063","73,378"
2005,AK,"55,891","72,041"
2006,AK,"56,418","70,437"
2007,AK,"62,993","76,477"
2008,AK,"63,989","74,812"
2009,AK,"61,604","72,275"
2010,AK,"57,848","66,767"
2011,AK,"57,431","64,260"
2012,AK,"63,648","69,739"
2013,AK,"72,472","78,249"
2014,AK,"67,629","71,804"
2015,AK,"75,112","79,611"
2016,AK,"75,723","79,237"
2017,AK,"77,987","79,888"
2018,AK,"68,734","68,734"
1984,AL,"17,310","39,958"
1985,AL,"18,333","40,915"
1986,AL,"19,132","41,963"
1987,AL,"19,734","41,844"
1988,AL,"19,948","40,823"
1989,AL,"21,284","41,733"
1990,AL,"23,357","43,645"
1991,AL,"24,346","43,896"
1992,AL,"25,808","45,403"
1993,AL,"25,082","43,041"
1994,AL,"27,196","45,714"
1995,AL,"25,991","42,661"
1996,AL,"30,302","48,447"
1997,AL,"31,939","49,983"
1998,AL,"36,266","55,997"
1999,AL,"36,251","54,806"
2000,AL,"35,424","51,798"
2001,AL,"35,160","49,989"
2002,AL,"37,603","52,633"
2003,AL,"37,255","50,988"
2004,AL,"36,629","48,812"
2005,AL,"37,150","47,885"
2006,AL,"37,952","47,382"
2007,AL,"42,212","51,248"
2008,AL,"44,476","51,999"
2009,AL,"39,980","46,905"
2010,AL,"40,933","47,244"
2011,AL,"42,590","47,654"
2012,AL,"43,464","47,624"
2013,AL,"47,320","51,092"
2014,AL,"42,278","44,888"
2015,AL,"44,509","47,175"
2016,AL,"47,221","49,412"
2017,AL,"50,865","52,105"
2018,AL,"49,936","49,936"
1984,AR,"15,674","36,181"
1985,AR,"17,451","38,946"
1986,AR,"18,730","41,082"
1987,AR,"18,827","39,921"
1988,AR,"20,172","41,282"
1989,AR,"21,433","42,025"
1990,AR,"22,786","42,578"
1991,AR,"23,435","42,254"
1992,AR,"23,882","42,015"
1993,AR,"23,039","39,535"
1994,AR,"25,565","42,972"
1995,AR,"25,814","42,370"
1996,AR,"27,123","43,364"
1997,AR,"26,162","40,942"
1998,AR,"27,665","42,716"
1999,AR,"29,682","44,875"
2000,AR,"29,697","43,424"
2001,AR,"33,339","47,400"
2002,AR,"32,387","45,332"
2003,AR,"32,002","43,798"
2004,AR,"34,984","46,620"
2005,AR,"36,658","47,250"
2006,AR,"37,057","46,265"
2007,AR,"40,795","49,527"
2008,AR,"39,586","46,282"
2009,AR,"36,538","42,867"
2010,AR,"38,587","44,536"
2011,AR,"41,302","46,213"
2012,AR,"39,018","42,752"
2013,AR,"39,376","42,515"
2014,AR,"44,922","47,695"
2015,AR,"42,798","45,362"
2016,AR,"45,907","48,037"
2017,AR,"49,751","50,964"
2018,AR,"49,781","49,781"
1984,AZ,"21,425","49,457"
1985,AZ,"23,877","53,287"
1986,AZ,"25,500","55,931"
1987,AZ,"26,749","56,719"
