"year","period","periodName","value","state","quarter","annual"
1976,"M12","December","8.7","AK",4,"1"
1977,"M12","December","10.8","AK",4,"1"
1978,"M12","December","10.1","AK",4,"1"
1979,"M12","December","9.3","AK",4,"1"
1980,"M12","December","9.6","AK",4,"1"
1981,"M12","December","9.9","AK",4,"1"
1982,"M12","December","10.3","AK",4,"1"
1983,"M12","December","10.1","AK",4,"1"
1984,"M12","December","9.3","AK",4,"1"
1985,"M12","December","10.1","AK",4,"1"
1986,"M12","December","11.0","AK",4,"1"
1987,"M12","December","9.5","AK",4,"1"
1988,"M12","December","8.0","AK",4,"1"
1989,"M12","December","7.1","AK",4,"1"
1990,"M12","December","7.5","AK",4,"1"
1991,"M12","December","9.5","AK",4,"1"
1992,"M12","December","8.3","AK",4,"1"
1993,"M12","December","7.6","AK",4,"1"
1994,"M12","December","7.5","AK",4,"1"
1995,"M12","December","7.9","AK",4,"1"
1996,"M12","December","7.8","AK",4,"1"
1997,"M12","December","6.7","AK",4,"1"
1998,"M12","December","6.5","AK",4,"1"
1999,"M12","December","6.4","AK",4,"1"
2000,"M12","December","6.5","AK",4,"1"
2001,"M12","December","6.8","AK",4,"1"
2002,"M12","December","7.7","AK",4,"1"
2003,"M12","December","8.0","AK",4,"1"
2004,"M12","December","7.3","AK",4,"1"
2005,"M12","December","7.1","AK",4,"1"
2006,"M12","December","6.6","AK",4,"1"
2007,"M12","December","6.5","AK",4,"1"
2008,"M12","December","7.0","AK",4,"1"
2009,"M12","December","8.0","AK",4,"1"
2010,"M12","December","8.0","AK",4,"1"
2011,"M12","December","7.8","AK",4,"1"
2012,"M12","December","7.2","AK",4,"1"
2013,"M12","December","7.0","AK",4,"1"
2014,"M12","December","6.6","AK",4,"1"
2015,"M12","December","6.8","AK",4,"1"
2016,"M12","December","7.1","AK",4,"1"
2017,"M12","December","7.0","AK",4,"1"
2018,"M12","December","6.3","AK",4,"1"
2019,"M12","December","6.1","AK",4,"1"
1976,"M12","December","6.6","AL",4,"1"
1977,"M12","December","6.0","AL",4,"1"
1978,"M12","December","6.5","AL",4,"1"
1979,"M12","December","6.7","AL",4,"1"
1980,"M12","December","9.0","AL",4,"1"
1981,"M12","December","11.8","AL",4,"1"
1982,"M12","December","15.3","AL",4,"1"
1983,"M12","December","11.8","AL",4,"1"
1984,"M12","December","10.1","AL",4,"1"
1985,"M12","December","8.7","AL",4,"1"
1986,"M12","December","9.0","AL",4,"1"
1987,"M12","December","7.0","AL",4,"1"
1988,"M12","December","7.1","AL",4,"1"
1989,"M12","December","6.2","AL",4,"1"
1990,"M12","December","6.6","AL",4,"1"
1991,"M12","December","7.1","AL",4,"1"
1992,"M12","December","7.1","AL",4,"1"
1993,"M12","December","6.2","AL",4,"1"
1994,"M12","December","5.3","AL",4,"1"
1995,"M12","December","5.0","AL",4,"1"
1996,"M12","December","4.7","AL",4,"1"
1997,"M12","December","4.0","AL",4,"1"
1998,"M12","December","4.1","AL",4,"1"
1999,"M12","December","4.4","AL",4,"1"
2000,"M12","December","4.2","AL",4,"1"
2001,"M12","December","5.8","AL",4,"1"
2002,"M12","December","5.7","AL",4,"1"
