"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty"
1984,"M12","December","9.3","AK",4,"1","153.82","32,356","74,689",9.6
1985,"M12","December","10.1","AK",4,"1","143.07","34,782","77,625",8.7
1986,"M12","December","11.0","AK",4,"1","138.24","31,356","68,775",11.4
1987,"M12","December","9.5","AK",4,"1","106.02","33,233","70,468",12
1988,"M12","December","8.0","AK",4,"1","133.16","33,103","67,745",11
1989,"M12","December","7.1","AK",4,"1","102.92","36,006","70,599",10.5
1990,"M12","December","7.5","AK",4,"1","120.33","39,298","73,433",11.4
1991,"M12","December","9.5","AK",4,"1","132.41","40,612","73,224",11.8
1992,"M12","December","8.3","AK",4,"1","136.92","41,802","73,541",10.2
1993,"M12","December","7.6","AK",4,"1","140.23","42,931","73,670",9.1
1994,"M12","December","7.5","AK",4,"1","145.6","45,367","76,258",10.2
1995,"M12","December","7.9","AK",4,"1","152.41","47,954","78,710",7.1
1996,"M12","December","7.8","AK",4,"1","160.09","52,779","84,383",8.2
1997,"M12","December","6.7","AK",4,"1","164.37","47,994","75,109",8.8
1998,"M12","December","6.5","AK",4,"1","168.25","50,692","78,271",9.4
1999,"M12","December","6.4","AK",4,"1","173.52","51,396","77,703",7.6
2000,"M12","December","6.5","AK",4,"1","177.18","52,847","77,275",7.6
2001,"M12","December","6.8","AK",4,"1","186.97","57,363","81,556",8.5
2002,"M12","December","7.7","AK",4,"1","196.15","52,774","73,868",8.8
2003,"M12","December","8.0","AK",4,"1","213.08","51,837","70,945",9.6
2004,"M12","December","7.3","AK",4,"1","233.32","55,063","73,378",9.1
2005,"M12","December","7.1","AK",4,"1","264.88","55,891","72,041",10
2006,"M12","December","6.6","AK",4,"1","282.6","56,418","70,437",8.9
2007,"M12","December","6.5","AK",4,"1","287.68","62,993","76,477",7.6
2008,"M12","December","7.0","AK",4,"1","287.09","63,989","74,812",8.2
2009,"M12","December","8.0","AK",4,"1","285.12","61,604","72,275",11.7
2010,"M12","December","8.0","AK",4,"1","285.43","57,848","66,767",12.5
2011,"M12","December","7.8","AK",4,"1","287.73","57,431","64,260",11.7
2012,"M12","December","7.2","AK",4,"1","290.18","63,648","69,739",10
2013,"M12","December","7.0","AK",4,"1","298.49","72,472","78,249",9.7
2014,"M12","December","6.6","AK",4,"1","305.03","67,629","71,804",11.9
2015,"M12","December","6.8","AK",4,"1","315.81","75,112","79,611",9.2
2016,"M12","December","7.1","AK",4,"1","318.98","75,723","79,237",12.6
2017,"M12","December","7.0","AK",4,"1","327.21","77,987","79,888",12.1
2017,"M12","December","7.0","AK",4,"1","327.21","77,987","79,888",14.4
2018,"M12","December","6.3","AK",4,"1","327.22","68,734","68,734",13.1
1984,"M12","December","10.1","AL",4,"1","121.52","17,310","39,958",19.1
1985,"M12","December","8.7","AL",4,"1","128.51","18,333","40,915",20.6
1986,"M12","December","9.0","AL",4,"1","136.02","19,132","41,963",23.8
1987,"M12","December","7.0","AL",4,"1","138.25","19,734","41,844",21.3
1988,"M12","December","7.1","AL",4,"1","141.45","19,948","40,823",19.3
1989,"M12","December","6.2","AL",4,"1","146.75","21,284","41,733",18.9
1990,"M12","December","6.6","AL",4,"1","147.61","23,357","43,645",19.2
1991,"M12","December","7.1","AL",4,"1","154.38","24,346","43,896",18.8
1992,"M12","December","7.1","AL",4,"1","160.07","25,808","45,403",17.3
1993,"M12","December","6.2","AL",4,"1","167.25","25,082","43,041",17.4
1994,"M12","December","5.3","AL",4,"1","171.25","27,196","45,714",16.4
1995,"M12","December","5.0","AL",4,"1","180.35","25,991","42,661",20.1
1996,"M12","December","4.7","AL",4,"1","186.11","30,302","48,447",14
1997,"M12","December","4.0","AL",4,"1","194.86","31,939","49,983",15.7
1998,"M12","December","4.1","AL",4,"1","204.3","36,266","55,997",14.5
1999,"M12","December","4.4","AL",4,"1","207.74","36,251","54,806",15.2
2000,"M12","December","4.2","AL",4,"1","214.65","35,424","51,798",13.3
2001,"M12","December","5.8","AL",4,"1","225.97","35,160","49,989",15.9
2002,"M12","December","5.7","AL",4,"1","233.58","37,603","52,633",14.5
2003,"M12","December","5.7","AL",4,"1","241.22","37,255","50,988",15
2004,"M12","December","4.9","AL",4,"1","253.3","36,629","48,812",16.9
2005,"M12","December","3.9","AL",4,"1","273.66","37,150","47,885",16.7
2006,"M12","December","3.7","AL",4,"1","293.81","37,952","47,382",14.3
2007,"M12","December","4.3","AL",4,"1","302.95","42,212","51,248",14.5
2008,"M12","December","7.6","AL",4,"1","302.91","44,476","51,999",14.3
2009,"M12","December","11.4","AL",4,"1","293.6","39,980","46,905",16.6
2010,"M12","December","9.8","AL",4,"1","286.59","40,933","47,244",17.2
2011,"M12","December","7.9","AL",4,"1","279.65","42,590","47,654",15.4
2012,"M12","December","7.2","AL",4,"1","277.24","43,464","47,624",16.2
2013,"M12","December","6.8","AL",4,"1","273.27","47,320","51,092",18.5
2014,"M12","December","5.8","AL",4,"1","280.8","42,278","44,888",17.8
2015,"M12","December","5.8","AL",4,"1","288.68","44,509","47,175",16.3
2016,"M12","December","5.4","AL",4,"1","297.16","47,221","49,412",16.2
2017,"M12","December","3.7","AL",4,"1","308.34","50,865","52,105",15.3
2017,"M12","December","3.7","AL",4,"1","308.34","50,865","52,105",15
2018,"M12","December","3.5","AL",4,"1","321.36","49,936","49,936",16
1984,"M12","December","8.3","AR",4,"1","121.41","15,674","36,181",23.9
1985,"M12","December","8.6","AR",4,"1","124.84","17,451","38,946",22.9
1986,"M12","December","8.3","AR",4,"1","128.73","18,730","41,082",21.3
1987,"M12","December","7.6","AR",4,"1","124.5","18,827","39,921",21.8
1988,"M12","December","7.1","AR",4,"1","126.68","20,172","41,282",21.6
1989,"M12","December","6.6","AR",4,"1","127.6","21,433","42,025",18.3
1990,"M12","December","7.2","AR",4,"1","128.74","22,786","42,578",19.6
1991,"M12","December","7.4","AR",4,"1","134.13","23,435","42,254",17.3
1992,"M12","December","6.5","AR",4,"1","137.59","23,882","42,015",17.5
1993,"M12","December","5.6","AR",4,"1","145.25","23,039","39,535",20
1994,"M12","December","4.7","AR",4,"1","152.54","25,565","42,972",15.3
1995,"M12","December","4.8","AR",4,"1","159.89","25,814","42,370",14.9
1996,"M12","December","5.2","AR",4,"1","164.36","27,123","43,364",17.2
1997,"M12","December","5.1","AR",4,"1","170.3","26,162","40,942",19.7
1998,"M12","December","4.8","AR",4,"1","177","27,665","42,716",14.7
1999,"M12","December","4.3","AR",4,"1","179.18","29,682","44,875",14.7
2000,"M12","December","4.1","AR",4,"1","185.45","29,697","43,424",16.5
2001,"M12","December","5.3","AR",4,"1","195.1","33,339","47,400",17.8
2002,"M12","December","5.4","AR",4,"1","202.4","32,387","45,332",19.8
2003,"M12","December","5.6","AR",4,"1","210.79","32,002","43,798",17.8
2004,"M12","December","5.4","AR",4,"1","224.53","34,984","46,620",15.1
2005,"M12","December","4.9","AR",4,"1","241.2","36,658","47,250",13.8
2006,"M12","December","5.0","AR",4,"1","253.1","37,057","46,265",17.7
2007,"M12","December","5.2","AR",4,"1","257.79","40,795","49,527",13.8
2008,"M12","December","6.6","AR",4,"1","254.97","39,586","46,282",15.3
2009,"M12","December","8.1","AR",4,"1","248.93","36,538","42,867",18.9
2010,"M12","December","8.2","AR",4,"1","245.65","38,587","44,536",15.3
2011,"M12","December","7.8","AR",4,"1","243.52","41,302","46,213",18.7
2012,"M12","December","7.4","AR",4,"1","245.57","39,018","42,752",20.1
2013,"M12","December","6.7","AR",4,"1","246.69","39,376","42,515",13.9
2014,"M12","December","5.5","AR",4,"1","253.16","44,922","47,695",18.4
2015,"M12","December","4.2","AR",4,"1","259.63","42,798","45,362",16.1
2016,"M12","December","3.6","AR",4,"1","267.12","45,907","48,037",16
2017,"M12","December","3.6","AR",4,"1","277.42","49,751","50,964",14.9
2017,"M12","December","3.6","AR",4,"1","277.42","49,751","50,964",14.8
2018,"M12","December","3.5","AR",4,"1","288.17","49,781","49,781",15.9
1984,"M12","December","5.3","AZ",4,"1","122.13","21,425","49,457",18.2
1985,"M12","December","5.9","AZ",4,"1","128.74","23,877","53,287",10.7
1986,"M12","December","6.5","AZ",4,"1","133.14","25,500","55,931",14.3
1987,"M12","December","5.7","AZ",4,"1","133.34","26,749","56,719",12.8
1988,"M12","December","5.7","AZ",4,"1","134.41","26,435","54,099",14.1
1989,"M12","December","4.5","AZ",4,"1","133.65","28,552","55,984",14.1
1990,"M12","December","4.8","AZ",4,"1","132.55","29,224","54,609",13.7
1991,"M12","December","6.8","AZ",4,"1","139.04","30,737","55,420",14.8
1992,"M12","December","6.7","AZ",4,"1","141.17","29,358","51,649",15.8
1993,"M12","December","5.6","AZ",4,"1","145.93","30,510","52,355",15.4
1994,"M12","December","5.1","AZ",4,"1","153.42","31,293","52,601",15.9
1995,"M12","December","4.9","AZ",4,"1","163.18","30,863","50,658",16.1
1996,"M12","December","5.0","AZ",4,"1","169.37","31,637","50,581",20.5
1997,"M12","December","3.9","AZ",4,"1","177.88","32,740","51,237",17.2
1998,"M12","December","4.0","AZ",4,"1","186.52","37,090","57,269",16.6
1999,"M12","December","3.7","AZ",4,"1","195.48","36,995","55,931",12.2
2000,"M12","December","3.5","AZ",4,"1","208.02","39,783","58,172",11.7
2001,"M12","December","5.3","AZ",4,"1","221.33","42,704","60,715",14.6
2002,"M12","December","5.7","AZ",4,"1","233.9","39,734","55,616",13.5
2003,"M12","December","4.9","AZ",4,"1","251.04","41,166","56,340",13.5
2004,"M12","December","4.4","AZ",4,"1","291.47","43,846","58,430",14.4
2005,"M12","December","4.2","AZ",4,"1","395.58","45,245","58,319",15.2
2006,"M12","December","3.6","AZ",4,"1","426.21","46,657","58,250",14.4
2007,"M12","December","4.2","AZ",4,"1","404.39","47,215","57,321",14.3
2008,"M12","December","7.8","AZ",4,"1","329.24","46,914","54,849",18
2009,"M12","December","10.6","AZ",4,"1","280.24","45,739","53,662",21.2
2010,"M12","December","9.6","AZ",4,"1","255.6","46,896","54,127",18.8
2011,"M12","December","8.5","AZ",4,"1","236.8","48,621","54,403",17.2
2012,"M12","December","7.7","AZ",4,"1","255.59","47,044","51,546",19
2013,"M12","December","7.0","AZ",4,"1","290.81","52,611","56,805",17.8
2014,"M12","December","6.1","AZ",4,"1","309.72","49,254","52,294",21.2
2015,"M12","December","5.4","AZ",4,"1","330.43","52,248","55,378",17.2
2016,"M12","December","4.8","AZ",4,"1","352.56","57,100","59,750",16.1
2017,"M12","December","4.5","AZ",4,"1","380.82","59,700","61,155",13.6
2017,"M12","December","4.5","AZ",4,"1","380.82","59,700","61,155",13.2
2018,"M12","December","4.7","AZ",4,"1","412.29","62,283","62,283",12.8
1984,"M12","December","7.1","CA",4,"1","122.88","25,287","58,372",13.2
