"year","period","periodName","value","state","quarter","HPI","annual"
1976,"M12","December","8.7","AK",4,"75.64","1"
1977,"M12","December","10.8","AK",4,"81.4","1"
1978,"M12","December","10.1","AK",4,"88.6","1"
1979,"M12","December","9.3","AK",4,"96.69","1"
1980,"M12","December","9.6","AK",4,"94.48","1"
1981,"M12","December","9.9","AK",4,"130.11","1"
1982,"M12","December","10.3","AK",4,"141.58","1"
1983,"M12","December","10.1","AK",4,"147.31","1"
1984,"M12","December","9.3","AK",4,"153.82","1"
1985,"M12","December","10.1","AK",4,"143.07","1"
1986,"M12","December","11.0","AK",4,"138.24","1"
1987,"M12","December","9.5","AK",4,"106.02","1"
1988,"M12","December","8.0","AK",4,"133.16","1"
1989,"M12","December","7.1","AK",4,"102.92","1"
1990,"M12","December","7.5","AK",4,"120.33","1"
1991,"M12","December","9.5","AK",4,"132.41","1"
1992,"M12","December","8.3","AK",4,"136.92","1"
1993,"M12","December","7.6","AK",4,"140.23","1"
1994,"M12","December","7.5","AK",4,"145.6","1"
1995,"M12","December","7.9","AK",4,"152.41","1"
1996,"M12","December","7.8","AK",4,"160.09","1"
1997,"M12","December","6.7","AK",4,"164.37","1"
1998,"M12","December","6.5","AK",4,"168.25","1"
1999,"M12","December","6.4","AK",4,"173.52","1"
2000,"M12","December","6.5","AK",4,"177.18","1"
2001,"M12","December","6.8","AK",4,"186.97","1"
2002,"M12","December","7.7","AK",4,"196.15","1"
2003,"M12","December","8.0","AK",4,"213.08","1"
2004,"M12","December","7.3","AK",4,"233.32","1"
2005,"M12","December","7.1","AK",4,"264.88","1"
2006,"M12","December","6.6","AK",4,"282.6","1"
2007,"M12","December","6.5","AK",4,"287.68","1"
2008,"M12","December","7.0","AK",4,"287.09","1"
2009,"M12","December","8.0","AK",4,"285.12","1"
2010,"M12","December","8.0","AK",4,"285.43","1"
2011,"M12","December","7.8","AK",4,"287.73","1"
2012,"M12","December","7.2","AK",4,"290.18","1"
2013,"M12","December","7.0","AK",4,"298.49","1"
2014,"M12","December","6.6","AK",4,"305.03","1"
2015,"M12","December","6.8","AK",4,"315.81","1"
2016,"M12","December","7.1","AK",4,"318.98","1"
2017,"M12","December","7.0","AK",4,"327.21","1"
2018,"M12","December","6.3","AK",4,"327.22","1"
2019,"M12","December","6.1","AK",4,"339.36","1"
1976,"M12","December","6.6","AL",4,"79.62","1"
1977,"M12","December","6.0","AL",4,"89.25","1"
1978,"M12","December","6.5","AL",4,"96.3","1"
1979,"M12","December","6.7","AL",4,"108.47","1"
1980,"M12","December","9.0","AL",4,"109.03","1"
1981,"M12","December","11.8","AL",4,"107.04","1"
1982,"M12","December","15.3","AL",4,"115.42","1"
1983,"M12","December","11.8","AL",4,"113.84","1"
1984,"M12","December","10.1","AL",4,"121.52","1"
1985,"M12","December","8.7","AL",4,"128.51","1"
1986,"M12","December","9.0","AL",4,"136.02","1"
1987,"M12","December","7.0","AL",4,"138.25","1"
1988,"M12","December","7.1","AL",4,"141.45","1"
1989,"M12","December","6.2","AL",4,"146.75","1"
1990,"M12","December","6.6","AL",4,"147.61","1"
1991,"M12","December","7.1","AL",4,"154.38","1"
1992,"M12","December","7.1","AL",4,"160.07","1"
1993,"M12","December","6.2","AL",4,"167.25","1"
1994,"M12","December","5.3","AL",4,"171.25","1"
1995,"M12","December","5.0","AL",4,"180.35","1"
1996,"M12","December","4.7","AL",4,"186.11","1"
1997,"M12","December","4.0","AL",4,"194.86","1"
1998,"M12","December","4.1","AL",4,"204.3","1"
1999,"M12","December","4.4","AL",4,"207.74","1"
2000,"M12","December","4.2","AL",4,"214.65","1"
2001,"M12","December","5.8","AL",4,"225.97","1"
2002,"M12","December","5.7","AL",4,"233.58","1"
2003,"M12","December","5.7","AL",4,"241.22","1"
2004,"M12","December","4.9","AL",4,"253.3","1"
2005,"M12","December","3.9","AL",4,"273.66","1"
2006,"M12","December","3.7","AL",4,"293.81","1"
2007,"M12","December","4.3","AL",4,"302.95","1"
2008,"M12","December","7.6","AL",4,"302.91","1"
2009,"M12","December","11.4","AL",4,"293.6","1"
2010,"M12","December","9.8","AL",4,"286.59","1"
2011,"M12","December","7.9","AL",4,"279.65","1"
2012,"M12","December","7.2","AL",4,"277.24","1"
2013,"M12","December","6.8","AL",4,"273.27","1"
2014,"M12","December","5.8","AL",4,"280.8","1"
2015,"M12","December","5.8","AL",4,"288.68","1"
2016,"M12","December","5.4","AL",4,"297.16","1"
2017,"M12","December","3.7","AL",4,"308.34","1"
2018,"M12","December","3.5","AL",4,"321.36","1"
2019,"M12","December","2.5","AL",4,"342.13","1"
1976,"M12","December","6.4","AR",4,"72.38","1"
