state,year,quarter,HPI
AK,1975,1,62.85
AK,1975,2,64.25
AK,1975,3,77.4
AK,1975,4,68.91
AK,1976,1,71.8
AK,1976,2,72.22
AK,1976,3,75.96
AK,1976,4,75.64
AK,1977,1,79.53
AK,1977,2,77.71
AK,1977,3,79.62
AK,1977,4,81.4
AK,1978,1,80.79
AK,1978,2,86.65
AK,1978,3,89.54
AK,1978,4,88.6
AK,1979,1,90.28
AK,1979,2,101.97
AK,1979,3,97.37
AK,1979,4,96.69
AK,1980,1,100
AK,1980,2,83.62
AK,1980,3,73.67
AK,1980,4,94.48
AK,1981,1,89.68
AK,1981,2,109.52
AK,1981,3,117.2
AK,1981,4,130.11
AK,1982,1,138
AK,1982,2,131.17
AK,1982,3,142
AK,1982,4,141.58
AK,1983,1,139.98
AK,1983,2,140.92
AK,1983,3,147.7
AK,1983,4,147.31
AK,1984,1,151.25
AK,1984,2,149.28
AK,1984,3,155.64
AK,1984,4,153.82
AK,1985,1,146.04
AK,1985,2,146.46
AK,1985,3,146.45
AK,1985,4,143.07
AK,1986,1,143.82
AK,1986,2,146.2
AK,1986,3,141.57
AK,1986,4,138.24
AK,1987,1,134.79
AK,1987,2,125.24
AK,1987,3,116.93
AK,1987,4,106.02
AK,1988,1,122.27
AK,1988,2,116.29
AK,1988,3,127.52
AK,1988,4,133.16
AK,1989,1,129.52
AK,1989,2,105.14
AK,1989,3,104.98
AK,1989,4,102.92
AK,1990,1,99.39
AK,1990,2,113.11
AK,1990,3,122.69
AK,1990,4,120.33
AK,1991,1,125.42
AK,1991,2,128.19
AK,1991,3,132.29
AK,1991,4,132.41
AK,1992,1,133.94
AK,1992,2,135.43
AK,1992,3,136.16
AK,1992,4,136.92
AK,1993,1,136.59
AK,1993,2,137.17
AK,1993,3,139.47
AK,1993,4,140.23
AK,1994,1,141.48
AK,1994,2,144.66
AK,1994,3,146.69
AK,1994,4,145.6
AK,1995,1,148.2
AK,1995,2,150.58
AK,1995,3,152.06
AK,1995,4,152.41
AK,1996,1,155.11
AK,1996,2,157.37
AK,1996,3,158.31
AK,1996,4,160.09
AK,1997,1,160.05
AK,1997,2,161.18
AK,1997,3,162.47
AK,1997,4,164.37
AK,1998,1,164.21
AK,1998,2,166.96
AK,1998,3,168.42
AK,1998,4,168.25
AK,1999,1,170.26
AK,1999,2,173.78
AK,1999,3,173.4
AK,1999,4,173.52
AK,2000,1,173.38
AK,2000,2,175.52
AK,2000,3,176.64
AK,2000,4,177.18
AK,2001,1,180.33
AK,2001,2,184.03
AK,2001,3,186.6
AK,2001,4,186.97
AK,2002,1,189.92
AK,2002,2,195.23
AK,2002,3,196.66
AK,2002,4,196.15
AK,2003,1,197.46
AK,2003,2,200.55
AK,2003,3,205.05
AK,2003,4,213.08
AK,2004,1,214.48
AK,2004,2,219.55
AK,2004,3,230.89
AK,2004,4,233.32
AK,2005,1,239.21
AK,2005,2,248.19
AK,2005,3,256.97
AK,2005,4,264.88
AK,2006,1,268.98
AK,2006,2,275.62
AK,2006,3,280.92
AK,2006,4,282.6
AK,2007,1,286.34
AK,2007,2,289.33
AK,2007,3,288.13
AK,2007,4,287.68
AK,2008,1,287.5
AK,2008,2,287.85
AK,2008,3,284.4
AK,2008,4,287.09
AK,2009,1,287.6
AK,2009,2,284.76
AK,2009,3,283.52
