"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500"
1984,"M12","December","9.3","AK",4,"1",153.82,32356,74689,9.6,513702,1.4
1985,"M12","December","10.1","AK",4,"1",143.07,34782,77625,8.7,532495,26.33
1986,"M12","December","11.0","AK",4,"1",138.24,31356,68775,11.4,544268,14.62
1987,"M12","December","9.5","AK",4,"1",106.02,33233,70468,12,539309,2.03
1988,"M12","December","8.0","AK",4,"1",133.16,33103,67745,11,541983,12.4
1989,"M12","December","7.1","AK",4,"1",102.92,36006,70599,10.5,547159,27.25
1990,"M12","December","7.5","AK",4,"1",120.33,39298,73433,11.4,553120,-6.56
1991,"M12","December","9.5","AK",4,"1",132.41,40612,73224,11.8,569273,26.31
1992,"M12","December","8.3","AK",4,"1",136.92,41802,73541,10.2,587073,4.46
1993,"M12","December","7.6","AK",4,"1",140.23,42931,73670,9.1,596993,7.06
1994,"M12","December","7.5","AK",4,"1",145.6,45367,76258,10.2,600624,-1.54
1995,"M12","December","7.9","AK",4,"1",152.41,47954,78710,7.1,601345,34.11
1996,"M12","December","7.8","AK",4,"1",160.09,52779,84383,8.2,604918,20.26
1997,"M12","December","6.7","AK",4,"1",164.37,47994,75109,8.8,608846,31.01
1998,"M12","December","6.5","AK",4,"1",168.25,50692,78271,9.4,615205,26.67
1999,"M12","December","6.4","AK",4,"1",173.52,51396,77703,7.6,619500,19.53
2000,"M12","December","6.5","AK",4,"1",177.18,52847,77275,7.6,627963,-10.14
2001,"M12","December","6.8","AK",4,"1",186.97,57363,81556,8.5,633714,-13.04
2002,"M12","December","7.7","AK",4,"1",196.15,52774,73868,8.8,642337,-23.37
2003,"M12","December","8.0","AK",4,"1",213.08,51837,70945,9.6,648414,26.38
2004,"M12","December","7.3","AK",4,"1",233.32,55063,73378,9.1,659286,8.99
2005,"M12","December","7.1","AK",4,"1",264.88,55891,72041,10,666946,3
2006,"M12","December","6.6","AK",4,"1",282.6,56418,70437,8.9,675302,13.62
2007,"M12","December","6.5","AK",4,"1",287.68,62993,76477,7.6,680300,3.53
2008,"M12","December","7.0","AK",4,"1",287.09,63989,74812,8.2,687455,-38.49
2009,"M12","December","8.0","AK",4,"1",285.12,61604,72275,11.7,698895,23.45
2010,"M12","December","8.0","AK",4,"1",285.43,57848,66767,12.5,713985,12.78
2010,"M12","December","8.0","AK",4,"1",285.43,57848,66767,12.5,713906,12.78
2011,"M12","December","7.8","AK",4,"1",287.73,57431,64260,11.7,722038,0
2012,"M12","December","7.2","AK",4,"1",290.18,63648,69739,10,730399,13.41
2013,"M12","December","7.0","AK",4,"1",298.49,72472,78249,9.7,737045,29.6
2014,"M12","December","6.6","AK",4,"1",305.03,67629,71804,11.9,736307,11.39
2015,"M12","December","6.8","AK",4,"1",315.81,75112,79611,9.2,737547,-0.73
2016,"M12","December","7.1","AK",4,"1",318.98,75723,79237,12.6,741504,9.54
2017,"M12","December","7.0","AK",4,"1",327.21,77987,79888,12.1,739786,19.42
2017,"M12","December","7.0","AK",4,"1",327.21,77987,79888,14.4,739786,19.42
2018,"M12","December","6.3","AK",4,"1",327.22,68734,68734,13.1,737438,-6.24
1984,"M12","December","10.1","AL",4,"1",121.52,17310,39958,19.1,3951820,1.4
1985,"M12","December","8.7","AL",4,"1",128.51,18333,40915,20.6,3972523,26.33
1986,"M12","December","9.0","AL",4,"1",136.02,19132,41963,23.8,3991569,14.62
