year,state,sp500
1984,AK,1.4
1985,AK,26.33
1986,AK,14.62
1987,AK,2.03
1988,AK,12.4
1989,AK,27.25
1990,AK,-6.56
1991,AK,26.31
1992,AK,4.46
1993,AK,7.06
1994,AK,-1.54
1995,AK,34.11
1996,AK,20.26
1997,AK,31.01
1998,AK,26.67
1999,AK,19.53
2000,AK,-10.14
2001,AK,-13.04
2002,AK,-23.37
2003,AK,26.38
2004,AK,8.99
2005,AK,3
2006,AK,13.62
2007,AK,3.53
2008,AK,-38.49
2009,AK,23.45
2010,AK,12.78
2011,AK,0
2012,AK,13.41
2013,AK,29.6
2014,AK,11.39
2015,AK,-0.73
2016,AK,9.54
2017,AK,19.42
2018,AK,-6.24
1984,AL,1.4
1985,AL,26.33
1986,AL,14.62
1987,AL,2.03
1988,AL,12.4
1989,AL,27.25
1990,AL,-6.56
1991,AL,26.31
1992,AL,4.46
1993,AL,7.06
1994,AL,-1.54
1995,AL,34.11
1996,AL,20.26
1997,AL,31.01
1998,AL,26.67
1999,AL,19.53
2000,AL,-10.14
2001,AL,-13.04
2002,AL,-23.37
2003,AL,26.38
2004,AL,8.99
2005,AL,3
2006,AL,13.62
2007,AL,3.53
2008,AL,-38.49
2009,AL,23.45
2010,AL,12.78
2011,AL,0
2012,AL,13.41
2013,AL,29.6
2014,AL,11.39
2015,AL,-0.73
2016,AL,9.54
2017,AL,19.42
2018,AL,-6.24
1984,AR,1.4
1985,AR,26.33
1986,AR,14.62
1987,AR,2.03
1988,AR,12.4
1989,AR,27.25
1990,AR,-6.56
1991,AR,26.31
1992,AR,4.46
1993,AR,7.06
1994,AR,-1.54
1995,AR,34.11
1996,AR,20.26
1997,AR,31.01
1998,AR,26.67
1999,AR,19.53
2000,AR,-10.14
2001,AR,-13.04
2002,AR,-23.37
2003,AR,26.38
2004,AR,8.99
2005,AR,3
2006,AR,13.62
2007,AR,3.53
2008,AR,-38.49
2009,AR,23.45
2010,AR,12.78
2011,AR,0
2012,AR,13.41
2013,AR,29.6
2014,AR,11.39
2015,AR,-0.73
2016,AR,9.54
2017,AR,19.42
2018,AR,-6.24
1984,AZ,1.4
1985,AZ,26.33
1986,AZ,14.62
1987,AZ,2.03
1988,AZ,12.4
1989,AZ,27.25
1990,AZ,-6.56
1991,AZ,26.31
1992,AZ,4.46
1993,AZ,7.06
1994,AZ,-1.54
1995,AZ,34.11
1996,AZ,20.26
1997,AZ,31.01
1998,AZ,26.67
1999,AZ,19.53
2000,AZ,-10.14
2001,AZ,-13.04
2002,AZ,-23.37
2003,AZ,26.38
2004,AZ,8.99
2005,AZ,3
2006,AZ,13.62
2007,AZ,3.53
2008,AZ,-38.49
2009,AZ,23.45
2010,AZ,12.78
2011,AZ,0
2012,AZ,13.41
2013,AZ,29.6
2014,AZ,11.39
2015,AZ,-0.73
2016,AZ,9.54
2017,AZ,19.42
2018,AZ,-6.24
1984,CA,1.4
1985,CA,26.33
1986,CA,14.62
1987,CA,2.03
1988,CA,12.4
1989,CA,27.25
1990,CA,-6.56
1991,CA,26.31
1992,CA,4.46
1993,CA,7.06
1994,CA,-1.54
1995,CA,34.11
1996,CA,20.26
1997,CA,31.01
1998,CA,26.67
1999,CA,19.53
2000,CA,-10.14
2001,CA,-13.04
2002,CA,-23.37
2003,CA,26.38
2004,CA,8.99
2005,CA,3
2006,CA,13.62
2007,CA,3.53
2008,CA,-38.49
2009,CA,23.45
2010,CA,12.78
2011,CA,0
2012,CA,13.41
2013,CA,29.6
2014,CA,11.39
2015,CA,-0.73
2016,CA,9.54
2017,CA,19.42
2018,CA,-6.24
1984,CO,1.4
1985,CO,26.33
1986,CO,14.62
1987,CO,2.03
1988,CO,12.4
1989,CO,27.25
1990,CO,-6.56
1991,CO,26.31
1992,CO,4.46
1993,CO,7.06
1994,CO,-1.54
1995,CO,34.11
1996,CO,20.26
1997,CO,31.01
1998,CO,26.67
1999,CO,19.53
2000,CO,-10.14
2001,CO,-13.04
2002,CO,-23.37
2003,CO,26.38
2004,CO,8.99
2005,CO,3
2006,CO,13.62
2007,CO,3.53
2008,CO,-38.49
2009,CO,23.45
2010,CO,12.78
2011,CO,0
2012,CO,13.41
2013,CO,29.6
2014,CO,11.39
2015,CO,-0.73
2016,CO,9.54
2017,CO,19.42
2018,CO,-6.24
1984,CT,1.4
1985,CT,26.33
1986,CT,14.62
1987,CT,2.03
1988,CT,12.4
1989,CT,27.25
1990,CT,-6.56
1991,CT,26.31
1992,CT,4.46
1993,CT,7.06
1994,CT,-1.54
1995,CT,34.11
1996,CT,20.26
1997,CT,31.01
1998,CT,26.67
1999,CT,19.53
2000,CT,-10.14
2001,CT,-13.04
2002,CT,-23.37
2003,CT,26.38
2004,CT,8.99
2005,CT,3
2006,CT,13.62
2007,CT,3.53
2008,CT,-38.49
2009,CT,23.45
2010,CT,12.78
2011,CT,0
2012,CT,13.41
2013,CT,29.6
2014,CT,11.39
2015,CT,-0.73
2016,CT,9.54
2017,CT,19.42
2018,DE,-6.24
1984,DE,1.4
1985,DE,26.33
1986,DE,14.62
1987,DE,2.03
1988,DE,12.4
1989,DE,27.25
1990,DE,-6.56
1991,DE,26.31
1992,DE,4.46
1993,DE,7.06
1994,DE,-1.54
1995,DE,34.11
1996,DE,20.26
1997,DE,31.01
1998,DE,26.67
1999,DE,19.53
2000,DE,-10.14
2001,DE,-13.04
2002,DE,-23.37
2003,DE,26.38
2004,DE,8.99
2005,DE,3
2006,DE,13.62
2007,DE,3.53
2008,DE,-38.49
2009,DE,23.45
2010,DE,12.78
2011,DE,0
2012,DE,13.41
2013,DE,29.6
2014,DE,11.39
2015,DE,-0.73
2016,DE,9.54
2017,DE,19.42
2018,DE,-6.24
1984,FL,1.4
1985,FL,26.33
1986,FL,14.62
1987,FL,2.03
1988,FL,12.4
1989,FL,27.25
1990,FL,-6.56
1991,FL,26.31
1992,FL,4.46
1993,FL,7.06
1994,FL,-1.54
1995,FL,34.11
1996,FL,20.26
1997,FL,31.01
1998,FL,26.67
1999,FL,19.53
2000,FL,-10.14
2001,FL,-13.04
2002,FL,-23.37
2003,FL,26.38
2004,FL,8.99
2005,FL,3
2006,FL,13.62
2007,FL,3.53
2008,FL,-38.49
2009,FL,23.45
2010,FL,12.78
2011,FL,0
2012,FL,13.41
2013,FL,29.6
2014,FL,11.39
2015,FL,-0.73
2016,FL,9.54
2017,FL,19.42
2018,FL,-6.24
1984,GA,1.4
1985,GA,26.33
1986,GA,14.62
1987,GA,2.03
1988,GA,12.4
1989,GA,27.25
1990,GA,-6.56
1991,GA,26.31
1992,GA,4.46
1993,GA,7.06
1994,GA,-1.54
1995,GA,34.11
1996,GA,20.26
1997,GA,31.01
1998,GA,26.67
1999,GA,19.53
2000,GA,-10.14
2001,GA,-13.04
2002,GA,-23.37
2003,GA,26.38
2004,GA,8.99
2005,GA,3
2006,GA,13.62
2007,GA,3.53
2008,GA,-38.49
2009,GA,23.45
2010,GA,12.78
2011,GA,0
2012,GA,13.41
2013,GA,29.6
2014,GA,11.39
2015,GA,-0.73
2016,GA,9.54
2017,GA,19.42
2018,GA,-6.24
1984,HI,1.4
1985,HI,26.33
1986,HI,14.62
1987,HI,2.03
1988,HI,12.4
1989,HI,27.25
1990,HI,-6.56
1991,HI,26.31
1992,HI,4.46
1993,HI,7.06
1994,HI,-1.54
1995,HI,34.11
1996,HI,20.26
1997,HI,31.01
1998,HI,26.67
1999,HI,19.53
2000,HI,-10.14
2001,HI,-13.04
2002,HI,-23.37
2003,HI,26.38
2004,HI,8.99
2005,HI,3
2006,HI,13.62
2007,HI,3.53
2008,HI,-38.49
2009,HI,23.45
2010,HI,12.78
2011,HI,0
2012,HI,13.41
2013,HI,29.6
2014,HI,11.39
2015,HI,-0.73
2016,HI,9.54
2017,HI,19.42
2018,HI,-6.24
1984,IA,1.4
1985,IA,26.33
1986,IA,14.62
1987,IA,2.03
1988,IA,12.4
1989,IA,27.25
1990,IA,-6.56
1991,IA,26.31
1992,IA,4.46
1993,IA,7.06
1994,IA,-1.54
1995,IA,34.11
1996,IA,20.26
1997,IA,31.01
1998,IA,26.67
1999,IA,19.53
2000,IA,-10.14
2001,IA,-13.04
2002,IA,-23.37
2003,IA,26.38
2004,IA,8.99
2005,IA,3
2006,IA,13.62
2007,IA,3.53
2008,IA,-38.49
2009,IA,23.45
2010,IA,12.78
2011,IA,0
2012,IA,13.41
2013,IA,29.6
2014,IA,11.39
2015,IA,-0.73
2016,IA,9.54
2017,IA,19.42
2018,IA,-6.24
1984,ID,1.4
1985,ID,26.33
1986,ID,14.62
1987,ID,2.03
1988,ID,12.4
1989,ID,27.25
1990,ID,-6.56
1991,ID,26.31
1992,ID,4.46
1993,ID,7.06
1994,ID,-1.54
1995,ID,34.11
1996,ID,20.26
1997,ID,31.01
1998,ID,26.67
1999,ID,19.53
2000,ID,-10.14
2001,ID,-13.04
2002,ID,-23.37
2003,ID,26.38
2004,ID,8.99
2005,ID,3
2006,ID,13.62
2007,ID,3.53
2008,ID,-38.49
2009,ID,23.45
2010,ID,12.78
2011,ID,0
2012,ID,13.41
2013,ID,29.6
2014,ID,11.39
2015,ID,-0.73
2016,ID,9.54
2017,ID,19.42
2018,ID,-6.24
1984,IL,1.4
1985,IL,26.33
1986,IL,14.62
1987,IL,2.03
1988,IL,12.4
1989,IL,27.25
1990,IL,-6.56
1991,IL,26.31
1992,IL,4.46
1993,IL,7.06
1994,IL,-1.54
1995,IL,34.11
1996,IL,20.26
1997,IL,31.01
1998,IL,26.67
1999,IL,19.53
2000,IL,-10.14
2001,IL,-13.04
2002,IL,-23.37
2003,IL,26.38
2004,IL,8.99
2005,IL,3
2006,IL,13.62
2007,IL,3.53
2008,IL,-38.49
2009,IL,23.45
2010,IL,12.78
2011,IL,0
2012,IL,13.41
2013,IL,29.6
2014,IL,11.39
2015,IL,-0.73
2016,IL,9.54
2017,IL,19.42
2018,IL,-6.24
1984,IN,1.4
1985,IN,26.33
1986,IN,14.62
1987,IN,2.03
1988,IN,12.4
1989,IN,27.25
1990,IN,-6.56
1991,IN,26.31
1992,IN,4.46
1993,IN,7.06
1994,IN,-1.54
1995,IN,34.11
1996,IN,20.26
1997,IN,31.01
1998,IN,26.67
1999,IN,19.53
2000,IN,-10.14
2001,IN,-13.04
2002,IN,-23.37
2003,IN,26.38
2004,IN,8.99
2005,IN,3
2006,IN,13.62
2007,IN,3.53
2008,IN,-38.49
2009,IN,23.45
2010,IN,12.78
2011,IN,0
2012,IN,13.41
2013,IN,29.6
2014,IN,11.39
2015,IN,-0.73
2016,IN,9.54
2017,IN,19.42
2018,IN,-6.24
1984,KS,1.4
1985,KS,26.33
1986,KS,14.62
1987,KS,2.03
1988,KS,12.4
1989,KS,27.25
1990,KS,-6.56
1991,KS,26.31
1992,KS,4.46
1993,KS,7.06
1994,KS,-1.54
1995,KS,34.11
1996,KS,20.26
1997,KS,31.01
1998,KS,26.67
1999,KS,19.53
2000,KS,-10.14
2001,KS,-13.04
2002,KS,-23.37
2003,KS,26.38
2004,KS,8.99
2005,KS,3
2006,KS,13.62
2007,KS,3.53
2008,KS,-38.49
2009,KS,23.45
2010,KS,12.78
2011,KS,0
2012,KS,13.41
2013,KS,29.6
2014,KS,11.39
2015,KS,-0.73
2016,KS,9.54
2017,KS,19.42
2018,KS,-6.24
1984,KY,1.4
1985,KY,26.33
1986,KY,14.62
1987,KY,2.03
1988,KY,12.4
1989,KY,27.25
1990,KY,-6.56
1991,KY,26.31
1992,KY,4.46
1993,KY,7.06
1994,KY,-1.54
1995,KY,34.11
1996,KY,20.26
1997,KY,31.01
1998,KY,26.67
1999,KY,19.53
2000,KY,-10.14
2001,KY,-13.04
2002,KY,-23.37
2003,KY,26.38
2004,KY,8.99
2005,KY,3
2006,KY,13.62
2007,KY,3.53
2008,KY,-38.49
2009,KY,23.45
2010,KY,12.78
2011,KY,0
2012,KY,13.41
2013,KY,29.6
2014,KY,11.39
2015,KY,-0.73
2016,KY,9.54
2017,KY,19.42
2018,KY,-6.24
1984,LA,1.4
1985,LA,26.33
1986,LA,14.62
1987,LA,2.03
1988,LA,12.4
1989,LA,27.25
1990,LA,-6.56
1991,LA,26.31
1992,LA,4.46
1993,LA,7.06
1994,LA,-1.54
1995,LA,34.11
1996,LA,20.26
1997,LA,31.01
1998,LA,26.67
1999,LA,19.53
2000,LA,-10.14
2001,LA,-13.04
2002,LA,-23.37
2003,LA,26.38
2004,LA,8.99
2005,LA,3
2006,LA,13.62
2007,LA,3.53
2008,LA,-38.49
2009,LA,23.45
2010,LA,12.78
2011,LA,0
2012,LA,13.41
2013,LA,29.6
2014,LA,11.39
2015,LA,-0.73
2016,LA,9.54
2017,LA,19.42
2018,LA,-6.24
1984,MA,1.4
1985,MA,26.33
1986,MA,14.62
1987,MA,2.03
1988,MA,12.4
1989,MA,27.25
1990,MA,-6.56
1991,MA,26.31
1992,MA,4.46
1993,MA,7.06
1994,MA,-1.54
1995,MA,34.11
1996,MA,20.26
1997,MA,31.01
1998,MA,26.67
1999,MA,19.53
2000,MA,-10.14
2001,MA,-13.04
2002,MA,-23.37
2003,MA,26.38
2004,MA,8.99
2005,MA,3
2006,MA,13.62
2007,MA,3.53
2008,MA,-38.49
2009,MA,23.45
2010,MA,12.78
2011,MA,0
2012,MA,13.41
2013,MA,29.6
2014,MA,11.39
2015,MA,-0.73
2016,MA,9.54
2017,MA,19.42
2018,MA,-6.24
1984,MD,1.4
1985,MD,26.33
1986,MD,14.62
1987,MD,2.03
1988,MD,12.4
1989,MD,27.25
1990,MD,-6.56
1991,MD,26.31
1992,MD,4.46
1993,MD,7.06
1994,MD,-1.54
1995,MD,34.11
1996,MD,20.26
1997,MD,31.01
1998,MD,26.67
1999,MD,19.53
2000,MD,-10.14
2001,MD,-13.04
2002,MD,-23.37
2003,MD,26.38
2004,MD,8.99
2005,MD,3
2006,MD,13.62
2007,MD,3.53
2008,MD,-38.49
2009,MD,23.45
2010,MD,12.78
2011,MD,0
2012,MD,13.41
2013,MD,29.6
2014,MD,11.39
2015,MD,-0.73
2016,MD,9.54
2017,MD,19.42
2018,MD,-6.24
1984,ME,1.4
1985,ME,26.33
1986,ME,14.62
1987,ME,2.03
1988,ME,12.4
1989,ME,27.25
1990,ME,-6.56
1991,ME,26.31
1992,ME,4.46
1993,ME,7.06
1994,ME,-1.54
1995,ME,34.11
1996,ME,20.26
1997,ME,31.01
1998,ME,26.67
1999,ME,19.53
2000,ME,-10.14
2001,ME,-13.04
2002,ME,-23.37
2003,ME,26.38
2004,ME,8.99
2005,ME,3
2006,ME,13.62
2007,ME,3.53
2008,ME,-38.49
2009,ME,23.45
2010,ME,12.78
2011,ME,0
2012,ME,13.41
2013,ME,29.6
2014,ME,11.39
2015,ME,-0.73
2016,ME,9.54
2017,ME,19.42
2018,ME,-6.24
1984,MI,1.4
1985,MI,26.33
1986,MI,14.62
1987,MI,2.03
1988,MI,12.4
1989,MI,27.25
1990,MI,-6.56
1991,MI,26.31
1992,MI,4.46
1993,MI,7.06
1994,MI,-1.54
1995,MI,34.11
1996,MI,20.26
1997,MI,31.01
1998,MI,26.67
1999,MI,19.53
2000,MI,-10.14
2001,MI,-13.04
2002,MI,-23.37
2003,MI,26.38
2004,MI,8.99
2005,MI,3
2006,MI,13.62
2007,MI,3.53
2008,MI,-38.49
2009,MI,23.45
2010,MI,12.78
2011,MI,0
2012,MI,13.41
2013,MI,29.6
2014,MI,11.39
2015,MI,-0.73
2016,MI,9.54
2017,MI,19.42
2018,MI,-6.24
1984,MN,1.4
1985,MN,26.33
1986,MN,14.62
1987,MN,2.03
1988,MN,12.4
1989,MN,27.25
1990,MN,-6.56
1991,MN,26.31
1992,MN,4.46
1993,MN,7.06
1994,MN,-1.54
1995,MN,34.11
1996,MN,20.26
1997,MN,31.01
1998,MN,26.67
1999,MN,19.53
2000,MN,-10.14
2001,MN,-13.04
2002,MN,-23.37
2003,MN,26.38
2004,MN,8.99
2005,MN,3
2006,MN,13.62
2007,MN,3.53
2008,MN,-38.49
2009,MN,23.45
2010,MN,12.78
2011,MN,0
2012,MN,13.41
2013,MN,29.6
2014,MN,11.39
2015,MN,-0.73
2016,MN,9.54
2017,MN,19.42
2018,MN,-6.24
1984,MO,1.4
1985,MO,26.33
1986,MO,14.62
1987,MO,2.03
1988,MO,12.4
1989,MO,27.25
1990,MO,-6.56
1991,MO,26.31
1992,MO,4.46
1993,MO,7.06
1994,MO,-1.54
1995,MO,34.11
1996,MO,20.26
1997,MO,31.01
1998,MO,26.67
1999,MO,19.53
2000,MO,-10.14
2001,MO,-13.04
2002,MO,-23.37
2003,MO,26.38
2004,MO,8.99
2005,MO,3
2006,MO,13.62
2007,MO,3.53
2008,MO,-38.49
2009,MO,23.45
2010,MO,12.78
2011,MO,0
2012,MO,13.41
2013,MO,29.6
2014,MO,11.39
2015,MO,-0.73
2016,MO,9.54
2017,MO,19.42
2018,MO,-6.24
1984,MS,1.4
1985,MS,26.33
1986,MS,14.62
1987,MS,2.03
1988,MS,12.4
1989,MS,27.25
1990,MS,-6.56
1991,MS,26.31
1992,MS,4.46
1993,MS,7.06
1994,MS,-1.54
1995,MS,34.11
1996,MS,20.26
1997,MS,31.01
1998,MS,26.67
1999,MS,19.53
2000,MS,-10.14
2001,MS,-13.04
2002,MS,-23.37
2003,MS,26.38
2004,MS,8.99
2005,MS,3
2006,MS,13.62
2007,MS,3.53
2008,MS,-38.49
2009,MS,23.45
2010,MS,12.78
2011,MS,0
2012,MS,13.41
2013,MS,29.6
2014,MS,11.39
2015,MS,-0.73
2016,MS,9.54
2017,MS,19.42
2018,MS,-6.24
1984,MT,1.4
1985,MT,26.33
1986,MT,14.62
1987,MT,2.03
1988,MT,12.4
1989,MT,27.25
1990,MT,-6.56
1991,MT,26.31
1992,MT,4.46
1993,MT,7.06
1994,MT,-1.54
1995,MT,34.11
1996,MT,20.26
1997,MT,31.01
1998,MT,26.67
1999,MT,19.53
2000,MT,-10.14
2001,MT,-13.04
2002,MT,-23.37
2003,MT,26.38
2004,MT,8.99
2005,MT,3
2006,MT,13.62
2007,MT,3.53
2008,MT,-38.49
2009,MT,23.45
2010,MT,12.78
2011,MT,0
