"year","period","periodName","value","state","quarter","annual","HPI","MHI","RMHI","poverty","population","sp500","log_pop","log_RMHI"
1984,"M12","December",9.3,"AK",4,1,153.82,32356,74689,9.6,513702,1.4,13.1493986097707,11.2210881045883
1985,"M12","December",10.1,"AK",4,1,143.07,34782,77625,8.7,532495,26.33,13.1853287868503,11.2596448192358
1986,"M12","December",11,"AK",4,1,138.24,31356,68775,11.4,544268,14.62,13.2071970515862,11.1385955857928
1987,"M12","December",9.5,"AK",4,1,106.02,33233,70468,12,539309,2.03,13.1980439694857,11.162913985047
1988,"M12","December",8,"AK",4,1,133.16,33103,67745,11,541983,12.4,13.2029899146162,11.1235059352805
1989,"M12","December",7.1,"AK",4,1,102.92,36006,70599,10.5,547159,27.25,13.2124947155827,11.1647712590751
1990,"M12","December",7.5,"AK",4,1,120.33,39298,73433,11.4,553290,-6.56,13.223637555345,11.2041287048474
1991,"M12","December",9.5,"AK",4,1,132.41,40612,73224,11.8,570193,26.31,13.2537301789911,11.2012785150646
1992,"M12","December",8.3,"AK",4,1,136.92,41802,73541,10.2,588736,4.46,13.2857331448368,11.2055983528047
1993,"M12","December",7.6,"AK",4,1,140.23,42931,73670,9.1,599432,7.06,13.3037378191597,11.2073509396769
1994,"M12","December",7.5,"AK",4,1,145.6,45367,76258,10.2,603308,-1.54,13.3101831247421,11.2418776069989
1995,"M12","December",7.9,"AK",4,1,152.41,47954,78710,7.1,604412,34.11,13.3120113635847,11.2735254911365
1996,"M12","December",7.8,"AK",4,1,160.09,52779,84383,8.2,608569,20.26,13.3188655785719,11.343121238495
1997,"M12","December",6.7,"AK",4,1,164.37,47994,75109,8.8,612968,31.01,13.3260680112719,11.226695670785
1998,"M12","December",6.5,"AK",4,1,168.25,50692,78271,9.4,619932,26.67,13.3373650735869,11.2679324430045
1999,"M12","December",6.4,"AK",4,1,173.52,51396,77703,7.6,624779,19.53,13.3451532661873,11.260649145649
2000,"M12","December",6.5,"AK",4,1,177.18,52847,77275,7.6,627963,-10.14,13.3502365265172,11.2551257670003
2001,"M12","December",6.8,"AK",4,1,186.97,57363,81556,8.5,633714,-13.04,13.3593530275404,11.3090451798369
2002,"M12","December",7.7,"AK",4,1,196.15,52774,73868,8.8,642337,-23.37,13.3728683670671,11.2100349955658
2003,"M12","December",8,"AK",4,1,213.08,51837,70945,9.6,648414,26.38,13.3822846602207,11.1696602079414
2004,"M12","December",7.3,"AK",4,1,233.32,55063,73378,9.1,659286,8.99,13.3989127102331,11.2033794421549
2005,"M12","December",7.1,"AK",4,1,264.88,55891,72041,10,666946,3,13.4104643621001,11.1849906803707
2006,"M12","December",6.6,"AK",4,1,282.6,56418,70437,8.9,675302,13.62,13.4229152772052,11.1624739722654
2007,"M12","December",6.5,"AK",4,1,287.68,62993,76477,7.6,680300,3.53,13.4302891563332,11.2447453210145
2008,"M12","December",7,"AK",4,1,287.09,63989,74812,8.2,687455,-38.49,13.4407516518352,11.2227335789029
2009,"M12","December",8,"AK",4,1,285.12,61604,72275,11.7,698895,23.45,13.4572557953403,11.1882335668845
2010,"M12","December",8,"AK",4,1,285.43,57848,66767,12.5,713985,12.78,13.4786172326977,11.1089642254846
2010,"M12","December",8,"AK",4,1,285.43,57848,66767,12.5,713906,12.78,13.4785065799937,11.1089642254846
2011,"M12","December",7.8,"AK",4,1,287.73,57431,64260,11.7,722038,0,13.4898330480689,11.0706926326699
2012,"M12","December",7.2,"AK",4,1,290.18,63648,69739,10,730399,13.41,13.5013462391491,11.1525149811535
2013,"M12","December",7,"AK",4,1,298.49,72472,78249,9.7,737045,29.6,13.5104042276521,11.267651328768
2014,"M12","December",6.6,"AK",4,1,305.03,67629,71804,11.9,736307,11.39,13.509402430306,11.181695463791
2015,"M12","December",6.8,"AK",4,1,315.81,75112,79611,9.2,737547,-0.73,13.5110850939791,11.2849075532398
2016,"M12","December",7.1,"AK",4,1,318.98,75723,79237,12.6,741504,9.54,13.5164358350162,11.280198640429
2017,"M12","December",7,"AK",4,1,327.21,77987,79888,12.1,739786,19.42,13.5141162341679,11.2883809327404
2018,"M12","December",6.3,"AK",4,1,327.22,68734,68734,13.1,737438,-6.24,13.5109372958656,11.1379992611709
1984,"M12","December",10.1,"AL",4,1,121.52,17310,39958,19.1,3951820,1.4,15.1896867902539,10.5955841814599
1985,"M12","December",8.7,"AL",4,1,128.51,18333,40915,20.6,3972523,26.33,15.1949119671812,10.6192520229615
1986,"M12","December",9,"AL",4,1,136.02,19132,41963,23.8,3991569,14.62,15.1996949446529,10.644543556618
1987,"M12","December",7,"AL",4,1,138.25,19734,41844,21.3,4015264,2.03,15.205613656626,10.6417036964637
1988,"M12","December",7.1,"AL",4,1,141.45,19948,40823,19.3,4023844,12.4,15.2077482226146,10.6170009270489
1989,"M12","December",6.2,"AL",4,1,146.75,21284,41733,18.9,4030222,27.25,15.2093320192543,10.6390474617277
1990,"M12","December",6.6,"AL",4,1,147.61,23357,43645,19.2,4050055,-6.56,15.2142410192374,10.6838440071694
1991,"M12","December",7.1,"AL",4,1,154.38,24346,43896,18.8,4099156,26.31,15.2262916568252,10.6895784787388
1992,"M12","December",7.1,"AL",4,1,160.07,25808,45403,17.3,4154014,4.46,15.2395856536581,10.7233334611415
1993,"M12","December",6.2,"AL",4,1,167.25,25082,43041,17.4,4214202,7.06,15.2539708076507,10.6699084287665
1994,"M12","December",5.3,"AL",4,1,171.25,27196,45714,16.4,4260229,-1.54,15.2648334726693,10.7301598757011
1995,"M12","December",5,"AL",4,1,180.35,25991,42661,20.1,4296800,34.11,15.2733811175734,10.6610404329133
1996,"M12","December",4.7,"AL",4,1,186.11,30302,48447,14,4331102,20.26,15.2813325710624,10.7882256958972
1997,"M12","December",4,"AL",4,1,194.86,31939,49983,15.7,4367935,31.01,15.2898009153438,10.8194382265972
1998,"M12","December",4.1,"AL",4,1,204.3,36266,55997,14.5,4404701,26.67,15.2981829376366,10.9330533968537
1999,"M12","December",4.4,"AL",4,1,207.74,36251,54806,15.2,4430141,19.53,15.3039419699572,10.9115549559937
2000,"M12","December",4.2,"AL",4,1,214.65,35424,51798,13.3,4452173,-10.14,15.3089028495624,10.8551068174636
2001,"M12","December",5.8,"AL",4,1,225.97,35160,49989,15.9,4467634,-13.04,15.3123695199699,10.8195582602067
2002,"M12","December",5.7,"AL",4,1,233.58,37603,52633,14.5,4480089,-23.37,15.3151534702653,10.8710985784333
2003,"M12","December",5.7,"AL",4,1,241.22,37255,50988,15,4503491,26.38,15.3203634317583,10.8393455899028
2004,"M12","December",4.9,"AL",4,1,253.3,36629,48812,16.9,4530729,8.99,15.3263934116641,10.7957314632517
2005,"M12","December",3.9,"AL",4,1,273.66,37150,47885,16.7,4569805,3,15.3349810923758,10.7765575819557
2006,"M12","December",3.7,"AL",4,1,293.81,37952,47382,14.3,4628981,13.62,15.3478473154468,10.7659976887256
2007,"M12","December",4.3,"AL",4,1,302.95,42212,51248,14.5,4672840,3.53,15.3572775818497,10.8444318718489
2008,"M12","December",7.6,"AL",4,1,302.91,44476,51999,14.3,4718206,-38.49,15.3669392005655,10.8589797666094
2009,"M12","December",11.4,"AL",4,1,293.6,39980,46905,16.6,4757938,23.45,15.375324939075,10.7558795585601
2010,"M12","December",9.8,"AL",4,1,286.59,40933,47244,17.2,4785298,12.78,15.3810588588819,10.7630809407317
2010,"M12","December",9.8,"AL",4,1,286.59,40933,47244,17.2,4785448,12.78,15.3810902044009,10.7630809407317
2011,"M12","December",7.9,"AL",4,1,279.65,42590,47654,15.4,4798834,0,15.3838835297024,10.7717218509946
2012,"M12","December",7.2,"AL",4,1,277.24,43464,47624,16.2,4815564,13.41,15.3873637303111,10.7710921148332
