state,year,population
AL,1980,3893888
AK,1980,401851
AZ,1980,2718215
AR,1980,2286435
CA,1980,23667902
CO,1980,2889964
CT,1980,3107576
DE,1980,594338
DC,1980,638333
FL,1980,9746324
GA,1980,5463105
HI,1980,964691
ID,1980,943935
IL,1980,11426518
IN,1980,5490224
IA,1980,2913808
KS,1980,2363679
KY,1980,3660777
LA,1980,4205900
ME,1980,1124660
MD,1980,4216975
MA,1980,5737037
MI,1980,9262078
MN,1980,4075970
MS,1980,2520638
MO,1980,4916686
MT,1980,786690
NE,1980,1569825
NV,1980,800493
NH,1980,920610
NJ,1980,7364823
NM,1980,1302894
NY,1980,17558072
NC,1980,5881766
ND,1980,652717
OH,1980,10797630
OK,1980,3025290
OR,1980,2633105
PA,1980,11863895
RI,1980,947154
SC,1980,3121820
SD,1980,690768
TN,1980,4591120
TX,1980,14229191
UT,1980,1461037
VT,1980,511456
VA,1980,5346818
WA,1980,4132156
WV,1980,1949644
WI,1980,4705767
WY,1980,469557
AL,1981,3918531
AK,1981,418491
AZ,1981,2810107
AR,1981,2293201
CA,1981,24285933
CO,1981,2977898
CT,1981,3128836
DE,1981,595975
DC,1981,636893
FL,1981,10192774
GA,1981,5568345
HI,1981,978195
ID,1981,962204
IL,1981,11443458
IN,1981,5480435
IA,1981,2907983
KS,1981,2384849
KY,1981,3670394
LA,1981,4283303
ME,1981,1133033
MD,1981,4261905
MA,1981,5768685
MI,1981,9209287
MN,1981,4111728
MS,1981,2539036
MO,1981,4932064
MT,1981,795328
NE,1981,1578515
NV,1981,847655
NH,1981,936621
NJ,1981,7407472
NM,1981,1332748
NY,1981,17567734
NC,1981,5956653
ND,1981,659505
OH,1981,10788330
OK,1981,3096164
OR,1981,2667982
PA,1981,11858567
RI,1981,953013
SC,1981,3179255
SD,1981,689584
TN,1981,4627658
TX,1981,14746318
UT,1981,1515471
VT,1981,515594
VA,1981,5444097
WA,1981,4235731
WV,1981,1954124
WI,1981,4726343
WY,1981,491712
AL,1982,3925266
AK,1982,449606
AZ,1982,2889861
AR,1982,2294257
CA,1982,24820009
