state,year,poverty
AL,2019,12.9
AK,2019,10.2
AZ,2019,9.9
AR,2019,14.1
CA,2019,10.1
CO,2019,9.3
CT,2019,8.3
DE,2019,6.5
FL,2019,11.5
GA,2019,12.1
HI,2019,8.4
ID,2019,7.1
IL,2019,9.3
IN,2019,10.1
IA,2019,9.5
KS,2019,9.5
KY,2019,13.6
LA,2019,17.9
ME,2019,10.4
MD,2019,7
MA,2019,7.5
MI,2019,10.2
MN,2019,5.7
MS,2019,19.2
MO,2019,9.4
MT,2019,9.7
NE,2019,8.7
NV,2019,10.4
NH,2019,3.7
NJ,2019,6.3
NM,2019,15.3
NY,2019,12.5
NC,2019,12.7
ND,2019,8.1
OH,2019,12.4
OK,2019,10.8
OR,2019,8.1
PA,2019,8.7
RI,2019,9.2
SC,2019,15.1
SD,2019,10.6
TN,2019,13.1
TX,2019,11.1
UT,2019,7.3
VT,2019,8.6
VA,2019,8.8
WA,2019,7
WV,2019,13.9
WI,2019,8.4
WY,2019,9.2
AL,2018,16
AK,2018,13.1
AZ,2018,12.8
AR,2018,15.9
CA,2018,11.9
CO,2018,9.1
CT,2018,10.2
DE,2018,7.4
FL,2018,13.7
GA,2018,14.8
HI,2018,9.2
ID,2018,11.5
IL,2018,10.3
IN,2018,11.6
IA,2018,8.9
KS,2018,7.5
KY,2018,15.7
LA,2018,19
ME,2018,11.6
MD,2018,8
MA,2018,8.7
MI,2018,10.5
MN,2018,7.9
MS,2018,19.6
MO,2018,12.4
MT,2018,10.3
NE,2018,10.5
NV,2018,13
NH,2018,6.1
NJ,2018,8.2
NM,2018,16.6
NY,2018,11.1
NC,2018,13.1
ND,2018,9.7
OH,2018,11.9
OK,2018,13.4
OR,2018,9.7
PA,2018,11.8
RI,2018,8.9
SC,2018,12.8
SD,2018,10.6
TN,2018,12
TX,2018,13.7
UT,2018,6.9
VT,2018,9.7
VA,2018,9.8
WA,2018,8.6
WV,2018,15.9
WI,2018,8.6
WY,2018,9.5
AL,2017,15.3
AK,2017,12.1
AZ,2017,13.6
AR,2017,14.9
CA,2017,12.1
CO,2017,8.9
CT,2017,10.6
DE,2017,8.8
FL,2017,13.4
GA,2017,13.1
HI,2017,10.6
ID,2017,11.5
IL,2017,11.5
IN,2017,11.7
IA,2017,7.5
KS,2017,14.3
KY,2017,13.5
LA,2017,20.5
ME,2017,12.4
MD,2017,7.6
MA,2017,11.2
MI,2017,11.5
MN,2017,8.5
MS,2017,18.5
MO,2017,11.4
MT,2017,10.3
NE,2017,11.5
NV,2017,13.2
NH,2017,7.2
NJ,2017,9.9
NM,2017,19.7
NY,2017,12.7
NC,2017,15.2
ND,2017,12.4
OH,2017,12.9
OK,2017,12.8
OR,2017,11.5
PA,2017,10.9
RI,2017,11.3
SC,2017,15.2
SD,2017,10.7
TN,2017,11.3
TX,2017,13.2
UT,2017,8.7
VT,2017,8.6
VA,2017,10.5
WA,2017,10.9
WV,2017,17.1
WI,2017,9.2
WY,2017,13
AL,2017,15
AK,2017,14.4
AZ,2017,13.2
AR,2017,14.8
CA,2017,12.4
CO,2017,7.7
CT,2017,10.9
DE,2017,9.2
FL,2017,13.7
GA,2017,13.3
HI,2017,10.3
ID,2017,11.7
IL,2017,10.9
IN,2017,11.4
IA,2017,9.1
KS,2017,14.7
KY,2017,14.4
LA,2017,21.4
ME,2017,12
MD,2017,7.8
MA,2017,10.6
MI,2017,12.7
MN,2017,9.2
MS,2017,18.3
MO,2017,11.1
MT,2017,9.7
NE,2017,10.4
NV,2017,13.7
NH,2017,6.6
NJ,2017,8.6
NM,2017,18.6
NY,2017,13.4
NC,2017,14.5
ND,2017,11.3
OH,2017,12.7
OK,2017,12.6
OR,2017,10.2
PA,2017,11.2
RI,2017,12.2
SC,2017,15.6
SD,2017,10.4
TN,2017,11.5
TX,2017,13.4
UT,2017,8.6
VT,2017,10.2
VA,2017,10.3
WA,2017,9.9
WV,2017,17.3
WI,2017,9.5
WY,2017,12.4
AL,2016,16.2
AK,2016,12.6
AZ,2016,16.1
AR,2016,16
CA,2016,13.9
CO,2016,8.5
CT,2016,9.8
DE,2016,11.6
FL,2016,13
GA,2016,15.4
HI,2016,9.3
ID,2016,11.1
IL,2016,12.1
IN,2016,11.8
IA,2016,9.8
KS,2016,11.2
KY,2016,15.2
LA,2016,20.2
ME,2016,12.7
MD,2016,7.1
MA,2016,9.6
MI,2016,11.1
MN,2016,8.7
MS,2016,21.1
MO,2016,13
MT,2016,11.7
NE,2016,9.6
NV,2016,10.1
NH,2016,6.4
NJ,2016,9.4
NM,2016,17.8
NY,2016,11.9
NC,2016,13.6
ND,2016,11.1
OH,2016,13.7
OK,2016,14.6
OR,2016,11.8
PA,2016,11.1
RI,2016,11.4
SC,2016,14.1
SD,2016,14.5
TN,2016,14.9
TX,2016,13.8
UT,2016,8.6
VT,2016,9.6
VA,2016,11.4
WA,2016,11
WV,2016,18
WI,2016,10.7
WY,2016,10.9
AL,2015,16.3
AK,2015,9.2
AZ,2015,17.2
AR,2015,16.1
CA,2015,13.9
CO,2015,9.9
CT,2015,9.1
DE,2015,11.1
FL,2015,16.2
GA,2015,18.1
HI,2015,10.9
ID,2015,12.3
IL,2015,10.9
IN,2015,13.5
IA,2015,10.4
KS,2015,14.2
KY,2015,19.5
LA,2015,18.6
ME,2015,12.3
MD,2015,9.6
MA,2015,11.5
MI,2015,12.8
MN,2015,7.8
MS,2015,19.1
MO,2015,9.8
MT,2015,11.9
NE,2015,10.3
NV,2015,13
