year,period,periodName,value,state,quarter,date
1976,M01,January,9.3,AK,NA,1/1/1976
1976,M02,February,9.4,AK,NA,2/1/1976
1976,M03,March,8.9,AK,1,3/1/1976
1976,M04,April,7.5,AK,NA,4/1/1976
1976,M05,May,7,AK,NA,5/1/1976
1976,M06,June,7.5,AK,2,6/1/1976
1976,M07,July,5.7,AK,NA,7/1/1976
1976,M08,August,5.6,AK,NA,8/1/1976
1976,M09,September,6.4,AK,3,9/1/1976
1976,M10,October,7,AK,NA,10/1/1976
1976,M11,November,8.3,AK,NA,11/1/1976
1976,M12,December,8.7,AK,4,12/1/1976
1977,M01,January,10.4,AK,NA,1/1/1977
1977,M02,February,11.4,AK,NA,2/1/1977
1977,M03,March,11,AK,1,3/1/1977
1977,M04,April,10.5,AK,NA,4/1/1977
1977,M05,May,10,AK,NA,5/1/1977
1977,M06,June,9.8,AK,2,6/1/1977
1977,M07,July,8.6,AK,NA,7/1/1977
1977,M08,August,7.9,AK,NA,8/1/1977
1977,M09,September,8.5,AK,3,9/1/1977
1977,M10,October,9.3,AK,NA,10/1/1977
1977,M11,November,10.3,AK,NA,11/1/1977
1977,M12,December,10.8,AK,4,12/1/1977
1978,M01,January,12.9,AK,NA,1/1/1978
1978,M02,February,12.6,AK,NA,2/1/1978
1978,M03,March,12.5,AK,1,3/1/1978
1978,M04,April,11.7,AK,NA,4/1/1978
1978,M05,May,11.2,AK,NA,5/1/1978
1978,M06,June,10.9,AK,2,6/1/1978
1978,M07,July,9.2,AK,NA,7/1/1978
1978,M08,August,8.6,AK,NA,8/1/1978
1978,M09,September,9.1,AK,3,9/1/1978
1978,M10,October,9.4,AK,NA,10/1/1978
1978,M11,November,10,AK,NA,11/1/1978
1978,M12,December,10.1,AK,4,12/1/1978
1979,M01,January,11.1,AK,NA,1/1/1979
1979,M02,February,11.5,AK,NA,2/1/1979
1979,M03,March,10.8,AK,1,3/1/1979
1979,M04,April,9.9,AK,NA,4/1/1979
1979,M05,May,9.2,AK,NA,5/1/1979
1979,M06,June,9.4,AK,2,6/1/1979
1979,M07,July,7.8,AK,NA,7/1/1979
1979,M08,August,7.3,AK,NA,8/1/1979
1979,M09,September,7.9,AK,3,9/1/1979
1979,M10,October,8.4,AK,NA,10/1/1979
1979,M11,November,9.2,AK,NA,11/1/1979
1979,M12,December,9.3,AK,4,12/1/1979
1980,M01,January,10.2,AK,NA,1/1/1980
1980,M02,February,10.9,AK,NA,2/1/1980
1980,M03,March,10.8,AK,1,3/1/1980
1980,M04,April,10.6,AK,NA,4/1/1980
1980,M05,May,9.6,AK,NA,5/1/1980
1980,M06,June,10.2,AK,2,6/1/1980
1980,M07,July,8.8,AK,NA,7/1/1980
1980,M08,August,8.2,AK,NA,8/1/1980
1980,M09,September,8.5,AK,3,9/1/1980
1980,M10,October,8.8,AK,NA,10/1/1980
1980,M11,November,9.3,AK,NA,11/1/1980
1980,M12,December,9.6,AK,4,12/1/1980
1981,M01,January,11,AK,NA,1/1/1981
1981,M02,February,11,AK,NA,2/1/1981
1981,M03,March,10.3,AK,1,3/1/1981
1981,M04,April,9.1,AK,NA,4/1/1981
1981,M05,May,8.8,AK,NA,5/1/1981
1981,M06,June,9.5,AK,2,6/1/1981
1981,M07,July,8.3,AK,NA,7/1/1981
1981,M08,August,8,AK,NA,8/1/1981
1981,M09,September,8.4,AK,3,9/1/1981
1981,M10,October,8.8,AK,NA,10/1/1981
1981,M11,November,9.5,AK,NA,11/1/1981
1981,M12,December,9.9,AK,4,12/1/1981
1982,M01,January,11.4,AK,NA,1/1/1982
1982,M02,February,11.6,AK,NA,2/1/1982
1982,M03,March,11.1,AK,1,3/1/1982
1982,M04,April,10.3,AK,NA,4/1/1982
1982,M05,May,9.9,AK,NA,5/1/1982
1982,M06,June,10.1,AK,2,6/1/1982
1982,M07,July,8.7,AK,NA,7/1/1982
1982,M08,August,8.2,AK,NA,8/1/1982
1982,M09,September,8.6,AK,3,9/1/1982
1982,M10,October,9.1,AK,NA,10/1/1982
1982,M11,November,10,AK,NA,11/1/1982
1982,M12,December,10.3,AK,4,12/1/1982
1983,M01,January,11.9,AK,NA,1/1/1983
1983,M02,February,12.1,AK,NA,2/1/1983
1983,M03,March,11.4,AK,1,3/1/1983
1983,M04,April,10.4,AK,NA,4/1/1983
1983,M05,May,9.9,AK,NA,5/1/1983
1983,M06,June,9.8,AK,2,6/1/1983
1983,M07,July,8.5,AK,NA,7/1/1983
1983,M08,August,8.3,AK,NA,8/1/1983
1983,M09,September,8.6,AK,3,9/1/1983
1983,M10,October,9,AK,NA,10/1/1983
1983,M11,November,9.7,AK,NA,11/1/1983
1983,M12,December,10.1,AK,4,12/1/1983
1984,M01,January,11.7,AK,NA,1/1/1984
1984,M02,February,11.8,AK,NA,2/1/1984
1984,M03,March,11.3,AK,1,3/1/1984
1984,M04,April,10.8,AK,NA,4/1/1984
1984,M05,May,10.1,AK,NA,5/1/1984
1984,M06,June,10,AK,2,6/1/1984
1984,M07,July,8.7,AK,NA,7/1/1984
1984,M08,August,8.1,AK,NA,8/1/1984
1984,M09,September,8.5,AK,3,9/1/1984
1984,M10,October,8.7,AK,NA,10/1/1984
1984,M11,November,9.4,AK,NA,11/1/1984
1984,M12,December,9.3,AK,4,12/1/1984
1985,M01,January,10.6,AK,NA,1/1/1985
1985,M02,February,11,AK,NA,2/1/1985
1985,M03,March,10.9,AK,1,3/1/1985
1985,M04,April,10.5,AK,NA,4/1/1985
1985,M05,May,9.7,AK,NA,5/1/1985
1985,M06,June,9.9,AK,2,6/1/1985
1985,M07,July,8.9,AK,NA,7/1/1985
1985,M08,August,8.2,AK,NA,8/1/1985
1985,M09,September,8.3,AK,3,9/1/1985
1985,M10,October,8.8,AK,NA,10/1/1985
1985,M11,November,9.7,AK,NA,11/1/1985
1985,M12,December,10.1,AK,4,12/1/1985
1986,M01,January,11.4,AK,NA,1/1/1986
1986,M02,February,12,AK,NA,2/1/1986
1986,M03,March,12,AK,1,3/1/1986
1986,M04,April,11.9,AK,NA,4/1/1986
1986,M05,May,11.1,AK,NA,5/1/1986
1986,M06,June,11.3,AK,2,6/1/1986
1986,M07,July,10.2,AK,NA,7/1/1986
1986,M08,August,9.8,AK,NA,8/1/1986
1986,M09,September,9.9,AK,3,9/1/1986
1986,M10,October,10.2,AK,NA,10/1/1986
1986,M11,November,10.6,AK,NA,11/1/1986
1986,M12,December,11,AK,4,12/1/1986
1987,M01,January,12,AK,NA,1/1/1987
1987,M02,February,12.2,AK,NA,2/1/1987
1987,M03,March,12,AK,1,3/1/1987
1987,M04,April,11.1,AK,NA,4/1/1987
1987,M05,May,10.6,AK,NA,5/1/1987
1987,M06,June,10.7,AK,2,6/1/1987
1987,M07,July,9.1,AK,NA,7/1/1987
1987,M08,August,8.5,AK,NA,8/1/1987
1987,M09,September,9,AK,3,9/1/1987
1987,M10,October,9.2,AK,NA,10/1/1987
1987,M11,November,9.5,AK,NA,11/1/1987
1987,M12,December,9.5,AK,4,12/1/1987
1988,M01,January,10.5,AK,NA,1/1/1988
1988,M02,February,10.8,AK,NA,2/1/1988
1988,M03,March,10.4,AK,1,3/1/1988
1988,M04,April,9.5,AK,NA,4/1/1988
1988,M05,May,9.1,AK,NA,5/1/1988
1988,M06,June,8.9,AK,2,6/1/1988
1988,M07,July,7.7,AK,NA,7/1/1988
1988,M08,August,7.3,AK,NA,8/1/1988
1988,M09,September,7.5,AK,3,9/1/1988
1988,M10,October,7.8,AK,NA,10/1/1988
1988,M11,November,8.2,AK,NA,11/1/1988
1988,M12,December,8,AK,4,12/1/1988
1989,M01,January,8.9,AK,NA,1/1/1989
1989,M02,February,9,AK,NA,2/1/1989
1989,M03,March,8.2,AK,1,3/1/1989
1989,M04,April,7.3,AK,NA,4/1/1989
1989,M05,May,6.7,AK,NA,5/1/1989
1989,M06,June,6.8,AK,2,6/1/1989
1989,M07,July,5.8,AK,NA,7/1/1989
1989,M08,August,5.4,AK,NA,8/1/1989
1989,M09,September,6,AK,3,9/1/1989
1989,M10,October,6.3,AK,NA,10/1/1989
1989,M11,November,6.9,AK,NA,11/1/1989
1989,M12,December,7.1,AK,4,12/1/1989
1990,M01,January,8.5,AK,NA,1/1/1990
1990,M02,February,8.6,AK,NA,2/1/1990
1990,M03,March,8.2,AK,1,3/1/1990
1990,M04,April,7.6,AK,NA,4/1/1990
1990,M05,May,7.2,AK,NA,5/1/1990
1990,M06,June,7.1,AK,2,6/1/1990
1990,M07,July,6.1,AK,NA,7/1/1990
1990,M08,August,6,AK,NA,8/1/1990
1990,M09,September,6.2,AK,3,9/1/1990
1990,M10,October,6.7,AK,NA,10/1/1990
1990,M11,November,7.2,AK,NA,11/1/1990
1990,M12,December,7.5,AK,4,12/1/1990
1991,M01,January,8.7,AK,NA,1/1/1991
1991,M02,February,9.1,AK,NA,2/1/1991
1991,M03,March,8.9,AK,1,3/1/1991
1991,M04,April,8.5,AK,NA,4/1/1991
1991,M05,May,8.2,AK,NA,5/1/1991
1991,M06,June,8.5,AK,2,6/1/1991
