Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
Sep-00,"132,353","111,618",605,"6,807","17,230","5,864.60","15,322.50","4,408.60",598.4,"3,674","7,799","16,834","15,353","11,940","5,182","20,735","2,745.00","4,804.00","13,186.00"
Oct-00,"132,351","111,608",607,"6,814","17,217","5,863.70","15,329.70","4,420.10",600.1,"3,677","7,809","16,847","15,360","11,876","5,187","20,743","2,736.00","4,804.00","13,203.00"
Nov-00,"132,556","111,796",604,"6,817","17,202","5,857.90","15,339.20","4,435.30",599.4,"3,685","7,823","16,886","15,410","11,946","5,191","20,760","2,737.00","4,809.00","13,214.00"
Dec-00,"132,709","111,905",602,"6,792","17,181","5,836.40","15,379.40","4,462.90",601.3,"3,705","7,839","16,869","15,465","11,976","5,196","20,804","2,745.00","4,814.00","13,245.00"
Jan-01,"132,698","111,863",605,"6,824","17,104","5,814.80","15,358.60","4,428.60",599.7,"3,710","7,845","16,876","15,516","11,977","5,204","20,835","2,753.00","4,805.00","13,277.00"
Feb-01,"132,789","111,883",605,"6,841","17,028","5,798.40","15,384.10","4,425.10",599.8,"3,716","7,867","16,851","15,573","11,997","5,198","20,906","2,752.00","4,839.00","13,315.00"
Mar-01,"132,747","111,802",609,"6,862","16,938","5,778.50","15,348.70","4,431.10",599.7,"3,718","7,885","16,802","15,629","12,000","5,201","20,945","2,755.00","4,852.00","13,338.00"
Apr-01,"132,463","111,471",608,"6,844","16,802","5,762.10","15,264.10","4,412.10",598.9,"3,686","7,889","16,675","15,671","12,040","5,219","20,992","2,755.00","4,856.00","13,381.00"
May-01,"132,410","111,381",609,"6,849","16,661","5,747.50","15,259.20","4,408.10",599.6,"3,663","7,900","16,632","15,747","12,068","5,238","21,029","2,758.00","4,875.00","13,396.00"
Jun-01,"132,299","111,162",610,"6,840","16,515","5,728.10","15,262.90","4,387.10",600.6,"3,642","7,905","16,566","15,779","12,076","5,250","21,137","2,780.00","4,902.00","13,455.00"
Jul-01,"132,177","110,992",610,"6,845","16,382","5,716.10","15,207.40","4,390.30",599.8,"3,619","7,892","16,512","15,840","12,110","5,268","21,185","2,783.00","4,921.00","13,481.00"
Aug-01,"132,028","110,810",608,"6,827","16,232","5,709.90","15,212.20","4,381.80",599.2,"3,600","7,916","16,449","15,903","12,093","5,279","21,218","2,780.00","4,934.00","13,504.00"
Sep-01,"131,771","110,529",607,"6,813","16,117","5,694.40","15,203.40","4,322.30",599,"3,583","7,915","16,362","15,959","12,061","5,293","21,242","2,770.00","4,955.00","13,517.00"
Oct-01,"131,454","110,179",602,"6,804","15,972","5,682.70","15,174.30","4,288.60",597.9,"3,558","7,926","16,261","15,999","12,015","5,298","21,275","2,763.00","4,962.00","13,550.00"
